geonameid,asciiname,latitude,longitude,country_code,population,timezone
134762,Farsan,32.25694,50.56095,IR,25071,Asia/Tehran
134905,pamas,34.03791,48.462,IR,1081,Asia/Tehran
135298,Esfarayen,37.07645,57.51009,IR,59678,Asia/Tehran
135423,Shahrud,36.41819,54.97628,IR,131889,Asia/Tehran
136014,Dogonbadan,30.3586,50.7981,IR,94638,Asia/Tehran
136399,Delijan,33.9905,50.6838,IR,33508,Asia/Tehran
136702,Dehloran,32.6941,47.2679,IR,46002,Asia/Tehran
136987,Dehdasht,30.7949,50.56457,IR,69726,Asia/Tehran
137268,Susangerd,31.5635,48.18958,IR,41443,Asia/Tehran
137436,Darreh Shahr,33.14447,47.3799,IR,24961,Asia/Tehran
137956,Darab,28.75194,54.54444,IR,63319,Asia/Tehran
138025,Damghan,36.1679,54.34292,IR,67694,Asia/Tehran
138042,Damavand,35.71842,52.06958,IR,29144,Asia/Tehran
138742,Chenaran,36.64546,59.12123,IR,46940,Asia/Tehran
